playername,LPER,Difference_From_Top,Difference_From_Average,LPER_normalized,Z-score,Role_Mean,Role_Std,Z-Elo,Z-Elo_Positive
Ice,2960,-765,126.45121951219517,0.43997071742313326,0.17995319413660682,2903.7571428571428,312.5415884541729,180,2065
Upset,2938,-787,104.45121951219517,0.4238653001464129,0.10956256193686743,2903.7571428571428,312.5415884541729,110,1995
DnDn,2556,-965,16.91249999999991,0.4674361088211047,0.09299636037527254,2528.5555555555557,295.11310263860327,93,1978
Gori,2733,-788,72.51948051948057,0.41930729550478996,0.07566177731160628,2711.0461538461536,290.1576850809546,76,1961
MaHa,2924,-801,90.45121951219517,0.4136163982430454,0.064768523264306,2903.7571428571428,312.5415884541729,65,1950
Yaharong,2725,-796,64.51948051948057,0.4134119380987472,0.04809056203337581,2711.0461538461536,290.1576850809546,48,1933
Perkz,2724,-797,63.51948051948057,0.41267501842299187,0.044644160123597,2711.0461538461536,290.1576850809546,45,1930
APA,2722,-799,61.51948051948057,0.4112011790714812,0.03775135630403939,2711.0461538461536,290.1576850809546,38,1923
BAO,2911,-814,77.45121951219517,0.404099560761347,0.02317405878264181,2903.7571428571428,312.5415884541729,23,1908
ikssu,2535,-986,-4.087500000000091,0.45012366034624895,0.021837202031440253,2528.5555555555557,295.11310263860327,22,1907
Photon,2533,-988,-6.087500000000091,0.44847485572959606,0.015060139332027656,2528.5555555555557,295.11310263860327,15,1900
Hans Sama,2900,-825,66.45121951219517,0.39604685212298685,-0.012021257317227889,2903.7571428571428,312.5415884541729,-12,1873
FIESTA,2706,-815,45.51948051948057,0.39941046425939575,-0.01739107425242155,2711.0461538461536,290.1576850809546,-17,1868
Karis,2705,-816,44.51948051948057,0.3986735445836404,-0.020837476162200358,2711.0461538461536,290.1576850809546,-21,1864
Flakked,2897,-828,63.451219512195166,0.3938506588579795,-0.021619979889919625,2903.7571428571428,312.5415884541729,-22,1863
Humanoid,2704,-817,43.51948051948057,0.39793662490788506,-0.024283878071979164,2711.0461538461536,290.1576850809546,-24,1861
BrokenBlade,2521,-1000,-18.08750000000009,0.4385820280296785,-0.025602236864447937,2528.5555555555557,295.11310263860327,-26,1859
Nemesis,2699,-822,38.51948051948057,0.39425202652910835,-0.04151588762087321,2711.0461538461536,290.1576850809546,-42,1843
SaSin,2694,-827,33.51948051948057,0.39056742815033163,-0.05874789716976725,2711.0461538461536,290.1576850809546,-59,1826
Taeyoon,2877,-848,43.451219512195166,0.37920937042459735,-0.08561146370786453,2903.7571428571428,312.5415884541729,-86,1799
Larssen,2685,-836,24.519480519480567,0.38393515106853354,-0.08976551435777652,2711.0461538461536,290.1576850809546,-90,1795
Envyy,2870,-855,36.451219512195166,0.3740849194729136,-0.10800848304414525,2903.7571428571428,312.5415884541729,-108,1777
Quid,2676,-845,15.519480519480567,0.37730287398673545,-0.12078313154578581,2711.0461538461536,290.1576850809546,-121,1764
Vetheo,2662,-859,1.5194805194805667,0.36698599852616065,-0.16903275828268913,2711.0461538461536,290.1576850809546,-169,1716
HOYA,2470,-1051,-69.08750000000009,0.3965375103050289,-0.1984173356994692,2528.5555555555557,295.11310263860327,-198,1687
Armut,2470,-1051,-69.08750000000009,0.3965375103050289,-0.1984173356994692,2528.5555555555557,295.11310263860327,-198,1687
Fudge,2470,-1051,-69.08750000000009,0.3965375103050289,-0.1984173356994692,2528.5555555555557,295.11310263860327,-198,1687
Exakick,2839,-886,5.451219512195166,0.3513909224011713,-0.20719528296195985,2903.7571428571428,312.5415884541729,-207,1678
Alphari,2463,-1058,-76.08750000000009,0.3907666941467436,-0.2221370551474133,2528.5555555555557,295.11310263860327,-222,1663
EMENES,2646,-875,-14.480519480519433,0.35519528371407516,-0.22417518883915005,2711.0461538461536,290.1576850809546,-224,1661
Crownie,2826,-899,-7.548780487804834,0.3418740849194729,-0.24878974744362403,2903.7571428571428,312.5415884541729,-249,1636
